Date,^NSEI
2023-06-02,0.0025039069673695735
2023-06-05,0.003218602311113372
2023-06-06,0.0002769559585793502
2023-06-07,0.006826497990157776
2023-06-08,-0.004916887367084399
2023-06-09,-0.003825505177262656
2023-06-12,0.0020503013499979517
2023-06-13,0.006144585747087206
2023-06-14,0.0021215820368070126
2023-06-15,-0.0036214536561356425
2023-06-16,0.007351956368470525
2023-06-19,-0.003754557931872071
2023-06-20,0.003260396693050893
2023-06-21,0.0021314905059401923
2023-06-22,-0.004549778379793423
2023-06-23,-0.0056495438985209034
2023-06-26,0.0013758829522760863
2023-06-27,0.006729211402827673
2023-06-28,0.008187463868637224
2023-06-30,0.0113703862194523
2023-07-03,0.006933003527425541
2023-07-04,0.003433046864417477
2023-07-05,0.0004898485434718935
2023-07-06,0.0050802910218656905
2023-07-07,-0.008524585713269417
2023-07-10,0.0012458539412882885
2023-07-11,0.004304651710725693
2023-07-12,-0.0028384540734549546
2023-07-13,0.001518077522588257
2023-07-14,0.007735121594226513
2023-07-17,0.007482946045497485
2023-07-18,0.001915870400722497
2023-07-19,0.004239283896302126
2023-07-20,0.007334449485703942
2023-07-21,-0.011788954585924216
2023-07-24,-0.0036862180542645007
2023-07-25,0.00041928243166644563
2023-07-26,0.004952057486001138
2023-07-27,-0.0060043684967965305
2023-07-28,-0.0007047080421802576
2023-07-31,0.005469577389254354
2023-08-01,-0.0010256449710546178
2023-08-02,-0.010545154493387443
2023-08-03,-0.007448355676119789
2023-08-04,0.006959118337332981
2023-08-07,0.0041059608614446574
2023-08-08,-0.001350647177991604
2023-08-09,0.0031477485221422796
2023-08-10,-0.004566679886025327
2023-08-11,-0.005891456761762726
2023-08-14,0.0003216439248596714
2023-08-16,0.0015655309306872311
2023-08-17,-0.00513775829005958
2023-08-18,-0.0028493381372509674
2023-08-21,0.004312209957047841
2023-08-22,0.00014692476375799401
2023-08-23,0.0024485198272952147
2023-08-24,-0.002951315531007026
2023-08-25,-0.006255679801562053
2023-08-28,0.0020870149074525557
2023-08-29,0.0018939637920958319
2023-08-30,0.00024806491573059475
2023-08-31,-0.0048521030396475595
2023-09-01,0.009382556025203215
2023-09-04,0.004799298621962933
2023-09-05,0.0023578141889490922
2023-09-06,0.0018450694598151074
2023-09-07,0.0058976072365517496
2023-09-08,0.004698136818211296
2023-09-11,0.008860770587059363
2023-09-12,-0.00015756069892525204
2023-09-13,0.003833986143147783
2023-09-14,0.0016478497893750443
2023-09-15,0.00442978786322179
2023-09-18,-0.0029286010148226183
2023-09-20,-0.011585098803333693
2023-09-21,-0.00802404589005512
2023-09-22,-0.003455380616644632
2023-09-25,1.5287950027698116e-05
2023-09-26,-0.0005008515772892963
2023-09-27,0.002628162551918223
2023-09-28,-0.009831803841214182
2023-09-29,0.0058603116976758685
2023-10-03,-0.00559404217312931
2023-10-04,-0.004755597219883612
2023-10-05,0.005625729970018867
2023-10-06,0.005497568008546949
2023-10-09,-0.007207861089913337
2023-10-10,0.009055676290124381
2023-10-11,0.0061517313687318165
2023-10-12,-0.0008761245971022902
2023-10-13,-0.002172167428733829
2023-10-16,-0.0009776805295214075
2023-10-17,0.004033563661321793
2023-10-18,-0.007112043473066265
2023-10-19,-0.0023615965865992905
2023-10-20,-0.004189660467808665
2023-10-23,-0.013440223951969088
2023-10-25,-0.008311683270010306
2023-10-26,-0.013949914095015004
2023-10-27,0.010025278863764697
2023-10-30,0.004904693073893185
2023-10-31,-0.0032077463043940213
2023-11-01,-0.004751896973196779
2023-11-02,0.007559875254065318
2023-11-03,0.005075080802081189
2023-11-06,0.00937581277895383
2023-11-07,-0.00026022581427831426
2023-11-08,0.0018944969651073507
2023-11-09,-0.0024820150223145987
2023-11-10,0.0015480850435949378
